Common_Name,Scientific_Name,Color_of_fur,Lat,Long,State
"Cat, long-tailed spotted",Felis wiedi or Leopardus weidi,Yellow,32.8756,-96.7495,Texas
Marine iguana,Amblyrhynchus cristatus,Violet,40.6775,-89.6263,Illinois
Trumpeter swan,Cygnus buccinator,Maroon,40.2944,-76.8938,Pennsylvania
Ringtail cat,Bassariscus astutus,Turquoise,38.0401,-78.4851,Virginia
"Teal, hottentot",Anas punctata,Green,42.3389,-70.9196,Massachusetts
Jaguar,Panthera onca,Orange,38.3774,-121.4444,California
"Seal, northern elephant",Mirounga angustirostris,Blue,36.0512,-78.8577,North Carolina
"Possum, common brushtail",Trichosurus vulpecula,Teal,34.7269,-92.344,Arkansas
European badger,Meles meles,Violet,41.7845,-71.3959,Rhode Island
"Skunk, western spotted",Spilogale gracilis,Yellow,38.8999,-94.832,Kansas
Blue duck,Hymenolaimus malacorhynchus,Khaki,41.0704,-80.6931,Ohio
"Sungazer, yellow-brown",Cordylus giganteus,Aquamarine,33.2765,-112.1872,Arizona
"Bustard, stanley",Neotis denhami,Orange,33.5225,-86.8094,Alabama
Bald eagle,Haliaeetus leucocephalus,Goldenrod,38.9035,-77.0276,District of Columbia
"Crow, pied",Corvus albus,Fuscia,35.6124,-88.8412,Tennessee
Red meerkat,Cynictis penicillata,Puce,32.373,-86.3081,Alabama
"Lizard, collared",Crotaphytus collaris,Goldenrod,32.7673,-96.7776,Texas
Pied cormorant,Phalacrocorax varius,Violet,43.0349,-83.6887,Michigan
Golden brush-tailed possum,Trichosurus vulpecula,Indigo,39.7388,-104.4083,Colorado
Musk ox,Ovibos moschatus,Maroon,39.7467,-104.8384,Colorado
Hanuman langur,Semnopithecus entellus,Green,39.7388,-104.4083,Colorado
"Heron, green",Butorides striatus,Crimson,39.7002,-105.0028,Colorado
Large cormorant,Phalacrocorax carbo,Indigo,39.0429,-95.7697,Kansas
Thomson's gazelle,Gazella thompsonii,Violet,27.4272,-82.4387,Florida
"Mongoose, small indian",Herpestes javanicus,Pink,41.8397,-88.0887,Illinois
Hoary marmot,Marmota caligata,Crimson,30.3449,-81.6831,Florida
Arctic fox,Alopex lagopus,Teal,36.175,-95.8477,Oklahoma
"Fox, arctic",Alopex lagopus,Red,34.8001,-82.3932,South Carolina
"Possum, western pygmy",Cercatetus concinnus,Blue,36.7978,-76.1759,Virginia
"Stork, yellow-billed",Mycteria ibis,Pink,35.0768,-85.3082,Tennessee
Bottle-nose dolphin,Tursiops truncatus,Maroon,33.3022,-112.1226,Arizona
Frog (unidentified),Rana sp.,Maroon,38.6406,-121.444,California
Butterfly (unidentified),unavailable,Orange,31.3902,-97.7993,Texas
Mallard,Anas platyrhynchos,Red,38.0702,-84.591,Kentucky
"Sheathbill, snowy",Chionis alba,Teal,34.0881,-77.8526,North Carolina
Swallow-tail gull,Creagrus furcatus,Aquamarine,38.3774,-121.4444,California
White-lipped peccary,Tayassu pecari,Violet,40.7442,-89.7184,Illinois
"Heron, green-backed",Butorides striatus,Yellow,27.3896,-80.2615,Florida
"Lion, south american sea",Otaria flavescens,Orange,42.6149,-73.9708,New York
"Vulture, king",Sarcorhamphus papa,Turquoise,28.5559,-81.3535,Florida
"Macaw, scarlet",Ara macao,Fuscia,38.7196,-90.27,Missouri
"Tortoise, asian foreset",Manouria emys,Orange,33.9631,-118.3941,California
Roseat flamingo,Phoenicopterus ruber,Violet,39.9597,-75.2024,Pennsylvania
Springbuck,Antidorcas marsupialis,Indigo,35.5514,-97.4075,Oklahoma
"Baboon, savanna",Papio cynocephalus,Orange,35.26,-80.8042,North Carolina
"Siskin, pine",Carduelis pinus,Blue,34.8337,-92.3289,Arkansas
European wild cat,Felis silvestris lybica,Mauv,41.6538,-83.6589,Ohio
Water moccasin,Agkistrodon piscivorus,Crimson,39.7002,-105.0028,Colorado
"Duck, blue",Hymenolaimus malacorhynchus,Khaki,39.111,-84.6594,Ohio
Nilgai,Boselaphus tragocamelus,Puce,39.009,-77.4422,Virginia
"Hawk-eagle, crowned",Spizaetus coronatus,Mauv,36.9312,-76.2397,Virginia
Golden brush-tailed possum,Trichosurus vulpecula,Turquoise,42.6395,-112.3138,Idaho
"Gull, pacific",Gabianus pacificus,Goldenrod,39.2025,-119.7526,Nevada
"Stork, european",Ciconia ciconia,Khaki,41.3657,-72.9275,Connecticut
"Dunnart, fat-tailed",Smithopsis crassicaudata,Turquoise,25.7341,-80.4068,Florida
Helmeted guinea fowl,Numida meleagris,Indigo,47.6536,-117.4317,Washington
"Crab, red lava",Graspus graspus,Purple,26.1457,-80.4483,Florida
"Capuchin, white-fronted",Cebus albifrons,Blue,29.7041,-95.401,Texas
"Flicker, field",Colaptes campestroides,Yellow,33.5082,-112.1011,Arizona
Koala,Phascolarctos cinereus,Mauv,39.7495,-89.606,Illinois
"Skua, great",Catharacta skua,Orange,31.6948,-106.3,Texas
Mountain goat,Oreamnos americanus,Teal,38.892,-77.0452,District of Columbia
Kafue flats lechwe,Kobus leche robertsi,Red,25.7341,-80.4068,Florida
Chilean flamingo,Phoenicopterus chilensis,Violet,37.8571,-122.25,California
White stork,Ciconia ciconia,Blue,31.9386,-106.4073,Texas
"Stork, openbill",Anastomus oscitans,Blue,42.3611,-71.0682,Massachusetts
"Booby, masked",Sula dactylatra,Mauv,40.7548,-73.6018,New York
"Cockatoo, sulfur-crested",Cacatua galerita,Maroon,38.1286,-104.5523,Colorado
Golden eagle,Aquila chrysaetos,Purple,38.8336,-76.8777,Maryland
"Whale, killer",Orcinus orca,Blue,38.2968,-81.5547,West Virginia
"Gull, pacific",Gabianus pacificus,Yellow,40.8265,-73.9383,New York
Golden-mantled ground squirrel,Spermophilus lateralis,Indigo,38.8933,-77.0146,District of Columbia
Red-legged pademelon,Thylogale stigmatica,Fuscia,42.4011,-96.372,Iowa
Greater kudu,Tragelaphus strepsiceros,Crimson,41.8119,-87.6873,Illinois
"Tortoise, burmese brown mountain",Manouria emys,Fuscia,38.8874,-77.0047,District of Columbia
Black-capped capuchin,Cebus apella,Indigo,38.6149,-90.1275,Illinois
"Squirrel, thirteen-lined",Spermophilus tridecemlineatus,Maroon,40.7808,-73.9772,New York
Common palm civet,Paradoxurus hermaphroditus,Violet,33.7529,-116.0556,California
Steller sea lion,Eumetopias jubatus,Green,45.0159,-93.4719,Minnesota
"Bison, american",Bison bison,Purple,38.3774,-121.4444,California
"Fox, bat-eared",Otocyon megalotis,Puce,39.0351,-94.5467,Missouri
"Beaver, north american",Castor canadensis,Purple,42.3648,-71.8969,Massachusetts
"Dolphin, bottle-nose",Tursiops truncatus,Fuscia,30.3264,-97.7713,Texas
"Weaver, lesser masked",Ploceus intermedius,Crimson,45.2009,-93.8881,Minnesota
Goanna lizard,Varanus sp.,Pink,39.6472,-105.0795,Colorado
"Lizard, blue-tongued",Tiliqua scincoides,Yellow,40.4344,-80.0248,Pennsylvania
"Flicker, campo",Colaptes campestroides,Turquoise,34.7269,-92.344,Arkansas
Pied cormorant,Phalacrocorax varius,Maroon,45.6231,-122.5767,Washington
Southern brown bandicoot,Isoodon obesulus,Maroon,32.6796,-97.3336,Texas
"Tortoise, burmese black mountain",Manouria emys,Goldenrod,39.0706,-84.4179,Ohio
"Polecat, african",Ictonyx striatus,Purple,29.6813,-82.3539,Florida
Snowy egret,Egretta thula,Turquoise,26.6492,-81.6167,Florida
"Bandicoot, southern brown",Isoodon obesulus,Fuscia,41.3089,-73.3637,Connecticut
Southern black-backed gull,Larus dominicanus,Goldenrod,26.1457,-80.4483,Florida
"Shrew, mandras tree",Anathana ellioti,Maroon,33.9982,-84.3411,Georgia
Dama wallaby,Macropus eugenii,Yellow,41.6727,-93.5722,Iowa
"Duiker, gray",Sylvicapra grimma,Goldenrod,38.6157,-121.5053,California
"Deer, barasingha",Cervus duvauceli,Turquoise,42.3389,-70.9196,Massachusetts
"Brocket, brown",Mazama gouazoubira,Blue,35.6004,-82.4918,North Carolina
Common grenadier,Uraeginthus granatina,Blue,47.1042,-122.87,Washington
Southern tamandua,Tamandua tetradactyla,Khaki,41.8267,-71.3977,Rhode Island
"Cormorant, great",Phalacrocorax carbo,Teal,28.5559,-81.3535,Florida
Blue duck,Hymenolaimus malacorhynchus,Aquamarine,25.9597,-80.1403,Florida
"Cardinal, black-throated",Paroaria gularis,Yellow,40.7808,-73.9772,New York
Western grey kangaroo,Macropus fuliginosus,Fuscia,46.8165,-100.7805,North Dakota
"Nutcracker, clark's",Nucifraga columbiana,Turquoise,32.8919,-117.2035,California
Black spider monkey,Ateles paniscus,Violet,38.4631,-122.99,California
"Pie, indian tree",Dendrocitta vagabunda,Violet,40.6914,-73.8061,New York
"Crab, sally lightfoot",Graspus graspus,Khaki,40.702,-74.089,New Jersey
"Deer, roe",Capreolus capreolus,Fuscia,39.7439,-104.9876,Colorado
"Booby, blue-faced",Sula dactylatra,Orange,38.8933,-77.0146,District of Columbia
Roseat flamingo,Phoenicopterus ruber,Green,38.8933,-77.0146,District of Columbia
Pine siskin,Carduelis pinus,Goldenrod,45.6231,-122.5767,Washington
"Crake, african black",Limnocorax flavirostra,Teal,35.3425,-97.6317,Oklahoma
Python (unidentified),unavailable,Orange,39.7038,-86.3029,Indiana
Red-shouldered glossy starling,Lamprotornis nitens,Aquamarine,40.43,-74.4173,New Jersey
Richardson's ground squirrel,Spermophilus richardsonii,Yellow,27.2866,-82.477,Florida
"Drongo, fork-tailed",Dicrurus adsimilis,Green,42.6568,-73.7605,New York
Carmine bee-eater,Merops nubicus,Maroon,33.8444,-84.474,Georgia
"Vulture, oriental white-backed",Gyps bengalensis,Purple,38.8318,-77.2888,Virginia
"Gecko, ring-tailed",Cyrtodactylus louisiadensis,Indigo,32.3475,-95.3065,Texas
Green vine snake,Oxybelis fulgidus,Maroon,39.1668,-84.5382,Ohio
Ring-tailed coatimundi,Nasua nasua,Red,35.2017,-89.9715,Tennessee
Praying mantis (unidentified),unavailable,Mauv,37.5242,-77.4932,Virginia
"Waterbuck, defassa",Kobus defassa,Maroon,35.9901,-83.9622,Tennessee
Black-capped capuchin,Cebus apella,Orange,38.8318,-77.2888,Virginia
"Goose, andean",Chloephaga melanoptera,Pink,29.4375,-98.4616,Texas
Short-nosed bandicoot,Isoodon obesulus,Fuscia,39.7388,-104.4083,Colorado
Palm squirrel,Funambulus pennati,Yellow,61.1535,-149.8289,Alaska
Galapagos sea lion,Zalophus californicus,Turquoise,29.4375,-98.4616,Texas
"Skimmer, four-spotted",Libellula quadrimaculata,Blue,39.361,-76.5891,Maryland
Common raccoon,Procyon lotor,Goldenrod,40.8265,-73.9383,New York
Downy woodpecker,Picoides pubescens,Crimson,39.144,-77.2076,Maryland
Galapagos albatross,Diomedea irrorata,Khaki,40.7808,-73.9772,New York
"Fox, north american red",Vulpes vulpes,Fuscia,32.2691,-110.9845,Arizona
"Seal, southern elephant",Mirounga leonina,Puce,36.1499,-95.7923,Oklahoma
"Snake, green vine",Oxybelis fulgidus,Teal,38.8318,-77.2888,Virginia
Sportive lemur,Lepilemur rufescens,Violet,38.7072,-90.3055,Missouri
Red-headed woodpecker,Melanerpes erythrocephalus,Puce,38.8933,-77.0146,District of Columbia
"Bat, madagascar fruit",Pteropus rufus,Crimson,33.5446,-86.9292,Alabama
White-mantled colobus,Colobus guerza,Turquoise,26.0663,-80.3339,Florida
"Butterfly, canadian tiger swallowtail",Papilio canadensis,Fuscia,45.04,-93.4865,Minnesota
Agama lizard (unidentified),Agama sp.,Yellow,28.5642,-82.4165,Florida
"Oryx, fringe-eared",Oryx gazella callotis,Violet,30.6589,-88.178,Alabama
Salmon pink bird eater tarantula,Lasiodora parahybana,Fuscia,38.0283,-84.4715,Kentucky
"Frogmouth, tawny",Podargus strigoides,Yellow,38.3774,-121.4444,California
"Lion, steller sea",Eumetopias jubatus,Fuscia,40.6324,-74.1172,New York
Common zorro,Dusicyon thous,Puce,40.9166,-74.174,New Jersey
Blue fox,Alopex lagopus,Orange,30.6589,-88.178,Alabama
"Wildebeest, blue",Connochaetus taurinus,Yellow,42.9559,-87.9933,Wisconsin
"Fox, cape",Vulpes chama,Yellow,37.7211,-122.4754,California
Manatee,Trichechus inunguis,Violet,27.9246,-80.5235,Florida
Mexican wolf,Canis lupus baileyi,Pink,39.7388,-104.4083,Colorado
Long-necked turtle,Chelodina longicollis,Puce,33.7465,-117.8662,California
"Alligator, american",Alligator mississippiensis,Puce,39.6269,-119.7081,Nevada
"Magpie, black-backed",Gymnorhina tibicen,Purple,35.2017,-89.9715,Tennessee
"Deer, barasingha",Cervus duvauceli,Orange,40.8247,-73.894,New York
Silver-backed jackal,Canis mesomelas,Crimson,30.392,-91.0892,Louisiana
Malachite kingfisher,Corythornis cristata,Goldenrod,30.085,-94.2607,Texas
Pine siskin,Carduelis pinus,Blue,40.7442,-89.7184,Illinois
"Hornbill, leadbeateri's ground",Bucorvus leadbeateri,Yellow,44.8756,-93.2553,Minnesota
Smith's bush squirrel,Paraxerus cepapi,Red,30.3449,-81.6831,Florida
Black-winged stilt,Himantopus himantopus,Puce,29.7853,-95.1852,Texas
Canada goose,Branta canadensis,Pink,42.4981,-83.2058,Michigan
Purple grenadier,Uraeginthus granatina,Turquoise,33.386,-82.091,Georgia
Egyptian vulture,Neophron percnopterus,Crimson,40.7548,-73.6018,New York
"Dove, laughing",Streptopelia senegalensis,Orange,35.22,-80.7881,North Carolina
Southern brown bandicoot,Isoodon obesulus,Red,32.3366,-111.1771,Arizona
"Cockatoo, long-billed",Cacatua tenuirostris,Khaki,35.4015,-101.8951,Texas
Grant's gazelle,Gazella granti,Mauv,45.0059,-93.1059,Minnesota
"Peacock, blue",Pavo cristatus,Blue,39.1678,-119.7764,Nevada
"Stork, white",Ciconia ciconia,Yellow,40.2805,-74.712,New Jersey
Serval,Felis serval,Purple,27.9654,-82.8001,Florida
"Otter, oriental short-clawed",Aonyx cinerea,Khaki,43.0528,-87.9353,Wisconsin
"Seal, harbor",Phoca vitulina,Mauv,38.8318,-77.2888,Virginia
"Bird, bare-faced go away",Lorythaixoides concolor,Pink,32.8118,-83.565,Georgia
"Boa, cook's tree",Corallus hortulanus cooki,Turquoise,38.8893,-75.8612,Maryland
"Cormorant, little",Phalacrocorax niger,Orange,40.7442,-89.7184,Illinois
Roseat flamingo,Phoenicopterus ruber,Aquamarine,25.7341,-80.4068,Florida
Galapagos mockingbird,Nesomimus trifasciatus,Teal,35.5514,-97.4075,Oklahoma
"Bird, bare-faced go away",Lorythaixoides concolor,Violet,35.9279,-114.9721,Nevada
"Tenrec, tailless",Tenrec ecaudatus,Puce,47.4511,-122.353,Washington
"Deer, barasingha",Cervus duvauceli,Orange,43.4599,-116.244,Idaho
Giant heron,Ardea golieth,Yellow,39.0312,-94.6308,Kansas
"Goose, andean",Chloephaga melanoptera,Turquoise,45.5289,-94.5933,Minnesota
Banded mongoose,Mungos mungo,Indigo,42.3389,-70.9196,Massachusetts
Groundhog,Marmota monax,Green,38.0283,-84.4715,Kentucky
Alpaca,Lama pacos,Indigo,35.2072,-80.9568,North Carolina
"Lion, african",Panthera leo,Khaki,39.778,-89.6466,Illinois
"Kudu, greater",Tragelaphus strepsiceros,Indigo,35.9924,-84.1201,Tennessee
"Sparrow, house",Passer domesticus,Aquamarine,32.3834,-86.2434,Alabama
"Turkey, common",Meleagris gallopavo,Puce,47.2325,-122.3594,Washington
"Heron, green",Butorides striatus,Violet,42.3389,-70.9196,Massachusetts
"Macaw, scarlet",Ara macao,Turquoise,33.7866,-118.2987,California
"Bettong, brush-tailed",Bettongia penicillata,Khaki,40.702,-74.089,New Jersey
Nyala,Tragelaphus angasi,Yellow,42.4464,-71.4594,Massachusetts
"Brocket, brown",Mazama gouazoubira,Green,39.9186,-75.1078,New Jersey
Madagascar hawk owl,Ninox superciliaris,Puce,38.9513,-76.8958,Maryland
"Tern, white-winged black",Chlidonias leucopterus,Goldenrod,21.3062,-157.8585,Hawaii
Tawny eagle,Anitibyx armatus,Green,29.3977,-98.4658,Texas
Savanna baboon,Papio cynocephalus,Turquoise,30.7813,-95.5953,Texas
Pine snake (unidentified),Pituophis melanaleucus,Mauv,44.2595,-72.585,Vermont
Royal tern,Thalasseus maximus,Aquamarine,36.175,-95.8477,Oklahoma
Long-nosed bandicoot,Perameles nasuta,Violet,41.6255,-93.6736,Iowa
Giant armadillo,Priodontes maximus,Purple,39.5645,-75.597,Delaware
Eurasian beaver,Castor fiber,Turquoise,40.5048,-79.9138,Pennsylvania
Darwin ground finch (unidentified),Geospiza sp.,Khaki,35.7667,-78.6008,North Carolina
"Cormorant, neotropic",Phalacrocorax brasilianus,Goldenrod,30.0042,-95.1728,Texas
Collared lemming,Dicrostonyx groenlandicus,Teal,26.0989,-80.1541,Florida
Scottish highland cow,Bos taurus,Green,38.9613,-94.8222,Kansas
"Bison, american",Bison bison,Violet,43.4599,-116.244,Idaho
Springbok,Antidorcas marsupialis,Violet,40.0422,-75.0244,Pennsylvania
"Baboon, chacma",Papio ursinus,Turquoise,40.9252,-74.1781,New Jersey
Asian openbill,Anastomus oscitans,Mauv,39.0883,-77.1568,Maryland
"Flicker, campo",Colaptes campestroides,Orange,38.189,-85.6768,Kentucky
"Macaque, pig-tailed",Macaca nemestrina,Maroon,38.0638,-84.5027,Kentucky
Amazon parrot (unidentified),Amazona sp.,Green,28.4429,-81.4026,Florida
Palm squirrel,Funambulus pennati,Goldenrod,35.3471,-120.4553,California
Red meerkat,Cynictis penicillata,Mauv,40.2805,-74.712,New Jersey
"Goat, mountain",Oreamnos americanus,Teal,45.5806,-122.3748,Oregon
"Stork, painted",Mycteria leucocephala,Aquamarine,36.1114,-86.869,Tennessee
"Oystercatcher, blackish",Haematopus ater,Orange,41.2917,-96.1711,Nebraska
Wild boar,Sus scrofa,Blue,42.3389,-70.9196,Massachusetts
Southern white-crowned shrike,Eurocephalus anguitimens,Purple,44.0225,-92.4668,Minnesota
"Lion, south american sea",Otaria flavescens,Red,40.4344,-80.0248,Pennsylvania
"Goose, egyptian",Alopochen aegyptiacus,Teal,40.8956,-81.433,Ohio
"Vulture, oriental white-backed",Gyps bengalensis,Puce,33.9937,-81.0199,South Carolina
Tawny eagle,Anitibyx armatus,Turquoise,37.7509,-122.4153,California
"Cat, ringtail",Bassariscus astutus,Goldenrod,37.8571,-122.25,California
"Blackbird, red-winged",Agelaius phoeniceus,Blue,26.6459,-80.4303,Florida
"Kingfisher, pied",Ceryle rudis,Maroon,43.073,-89.4528,Wisconsin
"Bird, magnificent frigate",Fregata magnificans,Maroon,44.9378,-93.2545,Minnesota
Harbor seal,Phoca vitulina,Teal,39.1802,-84.4204,Ohio
"Hornbill, leadbeateri's ground",Bucorvus leadbeateri,Maroon,33.8444,-84.474,Georgia
Two-banded monitor,Varanus salvator,Violet,36.0119,-115.0433,Nevada
"Lion, mountain",Felis concolor,Orange,35.2017,-89.9715,Tennessee
Hoffman's sloth,Choloepus hoffmani,Yellow,35.6665,-97.4798,Oklahoma
"Mongoose, yellow",Cynictis penicillata,Fuscia,35.0425,-90.0732,Tennessee
Musk ox,Ovibos moschatus,Blue,35.1255,-90.0424,Tennessee
Red-necked phalarope,Phalaropus lobatus,Mauv,33.7866,-118.2987,California
"Sheathbill, snowy",Chionis alba,Aquamarine,32.2691,-110.9845,Arizona
Sidewinder,Crotalus cerastes,Blue,32.7976,-79.9493,South Carolina
Malleefowl,Leipoa ocellata,Khaki,33.723,-84.4702,Georgia
"Gecko, bent-toed",Cyrtodactylus louisiadensis,Mauv,27.9953,-81.2593,Florida
Indian porcupine,Hystrix indica,Red,26.6459,-80.4303,Florida
White-throated monitor,Varanus albigularis,Indigo,33.8356,-117.9132,California
"Quoll, spotted-tailed",Dasyurus maculatus,Indigo,47.1042,-122.87,Washington
Red-tailed cockatoo,Calyptorhynchus magnificus,Red,30.43,-97.8326,Texas
"Stork, jabiru",Ephippiorhynchus mycteria,Mauv,33.571,-101.8507,Texas
Mule deer,Odocoileus hemionus,Blue,39.9788,-75.1262,Pennsylvania
"Boubou, southern",Laniarius ferrugineus,Fuscia,61.1901,-149.9361,Alaska
Egyptian goose,Alopochen aegyptiacus,Mauv,42.0999,-72.5783,Massachusetts
Wild boar,Sus scrofa,Puce,38.8933,-77.0146,District of Columbia
"Rat, arboral spiny",Echimys chrysurus,Violet,42.2399,-83.1508,Michigan
Pied kingfisher,Ceryle rudis,Aquamarine,41.6782,-83.4972,Ohio
"Lion, australian sea",Neophoca cinerea,Violet,42.4011,-96.372,Iowa
Marabou stork,Leptoptilos crumeniferus,Orange,37.929,-87.6604,Indiana
"Seal, northern fur",Callorhinus ursinus,Turquoise,40.6514,-73.8708,New York
Magellanic penguin,Spheniscus magellanicus,Goldenrod,35.4259,-97.5261,Oklahoma
"Fox, cape",Vulpes chama,Orange,39.1075,-84.5257,Ohio
"Monster, gila",Heloderma horridum,Puce,36.7957,-76.0126,Virginia
Lilac-breasted roller,Coracias caudata,Violet,39.2847,-76.6205,Maryland
Chuckwalla,Sauromalus obesus,Crimson,44.968,-93.1981,Minnesota
"Dog, raccoon",Nyctereutes procyonoides,Yellow,40.4344,-80.0248,Pennsylvania
"Owl, snowy",Nyctea scandiaca,Orange,37.9971,-87.575,Indiana
Feathertail glider,Acrobates pygmaeus,Fuscia,30.6143,-87.2758,Florida
"Cormorant, flightless",Nannopterum harrisi,Teal,41.2064,-95.9953,Nebraska
Galapagos hawk,Buteo galapagoensis,Crimson,32.7714,-97.2915,Texas
Emerald green tree boa,Boa caninus,Aquamarine,29.1565,-82.2095,Florida
"Catfish, blue",Ictalurus furcatus,Blue,37.7772,-121.9554,California
Crested bunting,Melophus lathami,Fuscia,36.1398,-96.0297,Oklahoma
"Kingfisher, white-throated",Halcyon smyrnesis,Maroon,33.386,-82.091,Georgia
"Macaw, green-winged",Ara chloroptera,Indigo,40.7845,-96.6888,Nebraska
Blue crane,Anthropoides paradisea,Red,39.0024,-77.1034,Maryland
Gecko (unidentified),unavailable,Khaki,39.7076,-94.8677,Missouri
"Coatimundi, white-nosed",Nasua narica,Goldenrod,33.9982,-84.3411,Georgia
"Baboon, chacma",Papio ursinus,Violet,40.7808,-73.9772,New York
"Wallaby, agile",Macropus agilis,Maroon,38.8808,-77.113,Virginia
Andean goose,Chloephaga melanoptera,Puce,32.7714,-97.2915,Texas
Paddy heron (unidentified),unavailable,Puce,37.2187,-121.8601,California
"Dragonfly, russian",Libellula quadrimaculata,Khaki,37.7441,-122.4863,California
Red brocket,Mazama americana,Indigo,31.8767,-102.4375,Texas
Black spider monkey,Ateles paniscus,Indigo,40.2618,-76.88,Pennsylvania
Mourning collared dove,Streptopelia decipiens,Teal,36.0807,-80.0244,North Carolina
"Lechwe, kafue flats",Kobus leche robertsi,Turquoise,42.37,-71.1773,Massachusetts
"Caracara, yellow-headed",Milvago chimachima,Yellow,32.432,-99.7724,Texas
"Puffin, horned",Fratercula corniculata,Mauv,38.2968,-81.5547,West Virginia
Australian sea lion,Neophoca cinerea,Mauv,39.8726,-86.2768,Indiana
"Ibis, puna",Plegadis ridgwayi,Green,36.1379,-86.741,Tennessee
"Possum, golden brush-tailed",Trichosurus vulpecula,Blue,39.4814,-119.8591,Nevada
Stanley bustard,Neotis denhami,Aquamarine,38.6531,-90.2435,Missouri
"Spider, wolf",Lycosa godeffroyi,Pink,41.3657,-72.9275,Connecticut
Blue fox,Alopex lagopus,Blue,61.204,-149.8084,Alaska
"Buffalo, wild water",Bubalus arnee,Crimson,35.26,-80.8042,North Carolina
"Crane, wattled",Bugeranus caruncalatus,Maroon,47.0662,-122.1132,Washington
"Baboon, olive",Papio cynocephalus,Teal,40.6914,-73.8061,New York
White-throated kingfisher,Halcyon smyrnesis,Indigo,42.3389,-70.9196,Massachusetts
"Squirrel, palm",Funambulus pennati,Khaki,40.2023,-85.4082,Indiana
"Booby, blue-faced",Sula dactylatra,Maroon,40.0418,-76.3012,Pennsylvania
"Ass, asiatic wild",Equus hemionus,Green,40.8139,-73.8841,New York
"Hyena, striped",Hyaena hyaena,Khaki,33.4368,-111.7129,Arizona
Dingo,Canis dingo,Goldenrod,29.4375,-98.4616,Texas
